Dataset,Input Length,Data Quality,Model,AUROC
MIMIC3,60s,HighQual,Baseline,0.9492
MIMIC3,60s,HighQual,DI,0.9561
MIMIC3,60s,HighQual,DI_D,0.95114
MIMIC3,60s,HighQual,DI_A,0.95409
MIMIC3,60s,HighQual,HIVAE,0.9505
MIMIC3,60s,HighQual,GPVAE,0.94742
MIMIC3,60s,HighQual,SNM,0.94716
MIMIC3,60s,HighQual,BDC,0.94799
MIMIC3,60s,LowQual,Baseline,0.76946
MIMIC3,60s,LowQual,DI,0.79037
MIMIC3,60s,LowQual,DI_D,0.79409
MIMIC3,60s,LowQual,DI_A,0.79889
MIMIC3,60s,LowQual,HIVAE,0.76062
MIMIC3,60s,LowQual,GPVAE,0.75458
MIMIC3,60s,LowQual,SNM,0.77593
MIMIC3,60s,LowQual,BDC,0.75525
