Dataset,Input Length,Data Quality,Model,AUROC
VitalDB,90s,HighQual,Baseline,0.885092
VitalDB,90s,HighQual,DI,0.8922919999999999
VitalDB,90s,HighQual,DI_D,0.8906799999999999
VitalDB,90s,HighQual,DI_A,0.8890520000000001
VitalDB,90s,HighQual,HIVAE,0.87148
VitalDB,90s,HighQual,GPVAE,0.880716
VitalDB,90s,HighQual,SNM,0.877648
VitalDB,90s,HighQual,BDC,0.8867039999999999
VitalDB,90s,LowQual,Baseline,0.8200330578512396
VitalDB,90s,LowQual,DI,0.8546214876033058
VitalDB,90s,LowQual,DI_D,0.8589752066115703
VitalDB,90s,LowQual,DI_A,0.8603834710743802
VitalDB,90s,LowQual,HIVAE,0.8286396694214876
VitalDB,90s,LowQual,GPVAE,0.8192528925619834
VitalDB,90s,LowQual,SNM,0.8579371900826445
VitalDB,90s,LowQual,BDC,0.8210181818181819
